Semester1,Fakultät,count,year_suffix,tutCount
Wise 14/15,Andere Fakultäten,90,15,10.0
Wise 14/15,Fakultät 3,58,15,10.0
Sose 15,Andere Fakultäten,92,15,9.0
Sose 15,Fakultät 3,33,15,9.0
WiSe 15/16,Andere Fakultäten,91,16,1.0
WiSe 15/16,Fakultät 3,30,16,1.0
SoSe 16,Fakultät 3,27,16,
SoSe 16,Andere Fakultäten,98,16,
WiSe 16/17,Andere Fakultäten,50,17,9.0
WiSe 16/17,Fakultät 3,45,17,9.0
Sose 17,Fakultät 3,39,17,1.0
Sose 17,Andere Fakultäten,46,17,1.0
WiSe 17/18,Andere Fakultäten,68,18,9.0
WiSe 17/18,Fakultät 3,46,18,9.0
Wise 18/19,Andere Fakultäten,77,19,7.0
Wise 18/19,Fakultät 3,28,19,7.0
SoSe 18,Andere Fakultäten,45,18,10.0
SoSe 18,Fakultät 3,27,18,10.0
WiSe 19/20,Andere Fakultäten,104,20,9.0
WiSe 19/20,Fakultät 3,12,20,9.0
SoSe 19,Fakultät 3,45,19,8.0
SoSe 19,Andere Fakultäten,123,19,8.0
SoSe 20,Andere Fakultäten,137,20,5.0
WiSe 20/21,Fakultät 3,8,21,2.0
SoSe 20,Fakultät 3,17,20,5.0
WiSe 20/21,Andere Fakultäten,92,21,2.0
SoSe 21,Fakultät 3,28,21,7.0
SoSe 21,Andere Fakultäten,114,21,7.0
Wise 21/22,Fakultät 3,22,22,8.0
Wise 21/22,Andere Fakultäten,136,22,8.0
Wise 22/23,Andere Fakultäten,86,23,8.0
SoSe 22,Andere Fakultäten,109,22,6.0
Wise 22/23,Fakultät 3,9,23,8.0
SoSe 22,Fakultät 3,25,22,6.0
WiSe 23/24,Andere Fakultäten,92,24,8.0
SoSe 23,Andere Fakultäten,99,23,4.0
WiSe 23/24,Fakultät 3,15,24,8.0
SoSe 23,Fakultät 3,16,23,4.0
SoSe 24,Andere Fakultäten,91,24,8.0
SoSe 24,Fakultät 3,17,24,8.0
